label,A_pct,B_pct,C_pct,D_pct,score_mean,score_median,score_std,score_null,null_MACD趋势,null_金叉信号,null_柱状动能,null_DIF斜率,null_背离信号,null_量价配合,null_K线形态,elapsed_s
SCORING_PARAMS.cross_decay_days=30_SCORING_PARAMS.cross_decay_min=0.2_SCORING_PARAMS.kline_decay_days=10_SCORING_PARAMS.kline_decay_min=0.1,0.3,5.5,41.8,52.4,8.39,0.0,19.6,0,0.0,0.0,0.0,0.0,0.0,0.0,,136.5
SCORING_PARAMS.cross_decay_days=30_SCORING_PARAMS.cross_decay_min=0.2_SCORING_PARAMS.kline_decay_days=10_SCORING_PARAMS.kline_decay_min=0.2,0.3,5.6,41.6,52.4,8.46,0.0,19.75,0,0.0,0.0,0.0,0.0,0.0,0.0,,140.1
SCORING_PARAMS.cross_decay_days=30_SCORING_PARAMS.cross_decay_min=0.2_SCORING_PARAMS.kline_decay_days=10_SCORING_PARAMS.kline_decay_min=0.3,0.3,5.6,41.6,52.4,8.46,0.0,19.75,0,0.0,0.0,0.0,0.0,0.0,0.0,,142.5
SCORING_PARAMS.cross_decay_days=30_SCORING_PARAMS.cross_decay_min=0.2_SCORING_PARAMS.kline_decay_days=20_SCORING_PARAMS.kline_decay_min=0.1,0.5,5.5,41.5,52.4,8.55,0.0,19.92,0,0.0,0.0,0.0,0.0,0.0,0.0,,136.8
SCORING_PARAMS.cross_decay_days=30_SCORING_PARAMS.cross_decay_min=0.2_SCORING_PARAMS.kline_decay_days=20_SCORING_PARAMS.kline_decay_min=0.2,0.5,5.5,41.5,52.4,8.57,0.0,19.96,0,0.0,0.0,0.0,0.0,0.0,0.0,,139.0
SCORING_PARAMS.cross_decay_days=30_SCORING_PARAMS.cross_decay_min=0.2_SCORING_PARAMS.kline_decay_days=20_SCORING_PARAMS.kline_decay_min=0.3,0.5,5.5,41.5,52.4,8.57,0.0,19.96,0,0.0,0.0,0.0,0.0,0.0,0.0,,134.2
SCORING_PARAMS.cross_decay_days=30_SCORING_PARAMS.cross_decay_min=0.3_SCORING_PARAMS.kline_decay_days=5_SCORING_PARAMS.kline_decay_min=0.1,0.3,5.5,41.8,52.4,8.31,0.0,19.47,0,0.0,0.0,0.0,0.0,0.0,0.0,,134.2
SCORING_PARAMS.cross_decay_days=30_SCORING_PARAMS.cross_decay_min=0.3_SCORING_PARAMS.kline_decay_days=5_SCORING_PARAMS.kline_decay_min=0.2,0.3,5.6,41.6,52.4,8.42,0.0,19.69,0,0.0,0.0,0.0,0.0,0.0,0.0,,134.4
SCORING_PARAMS.cross_decay_days=30_SCORING_PARAMS.cross_decay_min=0.3_SCORING_PARAMS.kline_decay_days=5_SCORING_PARAMS.kline_decay_min=0.3,0.3,5.6,41.6,52.4,8.42,0.0,19.69,0,0.0,0.0,0.0,0.0,0.0,0.0,,132.6
SCORING_PARAMS.cross_decay_days=30_SCORING_PARAMS.cross_decay_min=0.3_SCORING_PARAMS.kline_decay_days=10_SCORING_PARAMS.kline_decay_min=0.1,0.3,5.5,41.8,52.4,8.41,0.0,19.67,0,0.0,0.0,0.0,0.0,0.0,0.0,,135.4
