date,close,open,high,low,volume,amount,code,name
2025-07-22,806.97,809.26,813.24,795.53,1.65297312,6.641333729099999,801015,渔业
2025-07-23,799.24,806.79,813.45,796.75,1.40898153,5.5765596386,801015,渔业
2025-07-24,812.79,799.47,814.52,796.86,1.92474339,7.531693378300001,801015,渔业
2025-07-25,811.82,816.79,824.1,805.93,1.46313542,6.2307546995,801015,渔业
2025-07-28,814.93,811.91,822.16,806.03,1.3136242,5.5102862430999995,801015,渔业
2025-07-29,811.95,815.46,819.62,799.85,1.34341239,5.4610146801,801015,渔业
2025-07-30,844.95,810.74,857.99,805.81,3.60153807,16.4569294997,801015,渔业
2025-07-31,805.25,830.91,834.81,801.77,2.99231975,14.2957527144,801015,渔业
2025-08-01,806.05,802.24,813.39,799.34,1.37561189,6.7274121062,801015,渔业
2025-08-04,807.0,802.85,811.34,793.71,1.07915335,5.001460278500001,801015,渔业
2025-08-05,815.18,808.01,819.09,806.22,1.12709715,5.4282394162,801015,渔业
2025-08-06,814.81,818.21,822.39,807.85,1.09420829,4.956049406,801015,渔业
2025-08-07,812.43,815.59,818.92,807.8,0.92257812,4.2368957402,801015,渔业
2025-08-08,818.94,812.7,823.03,806.36,1.2111401,5.559162626699999,801015,渔业
2025-08-11,824.9,820.62,830.71,815.03,1.25533984,5.3993719389,801015,渔业
2025-08-12,819.81,825.11,833.12,815.62,1.10197448,4.9401696331,801015,渔业
2025-08-13,815.85,824.03,824.96,810.57,1.09937172,4.882575521600001,801015,渔业
2025-08-14,800.13,816.08,819.67,800.05,1.37029531,5.8330003186,801015,渔业
2025-08-15,815.99,807.68,830.43,802.16,1.87427192,8.6601500244,801015,渔业
2025-08-18,824.22,817.97,835.29,813.65,1.96898893,8.8480378393,801015,渔业
2025-08-19,836.41,824.64,852.27,820.67,2.20566685,10.2212295589,801015,渔业
2025-08-20,843.98,835.03,846.99,829.71,1.7610867,7.861802429400001,801015,渔业
2025-08-21,851.71,845.36,860.4,834.48,2.18123195,9.921302499500001,801015,渔业
2025-08-22,841.74,851.36,857.74,832.25,1.85245467,8.4718362871,801015,渔业
2025-08-25,842.22,841.11,848.13,830.02,1.7801627,7.793654213200001,801015,渔业
2025-08-26,844.35,841.29,854.31,835.27,1.52148064,6.747666494500001,801015,渔业
2025-08-27,817.99,846.91,849.33,817.72,1.81575679,7.809050590599999,801015,渔业
2025-08-28,798.05,802.4,819.58,774.22,2.80991447,11.066647854200001,801015,渔业
2025-08-29,798.37,797.42,810.36,789.92,1.50018212,6.113559909299999,801015,渔业
2025-09-01,807.16,801.58,815.12,791.13,1.4163217,6.1901051847,801015,渔业
2025-09-02,803.23,807.06,811.75,791.99,1.41364275,5.6638410543,801015,渔业
2025-09-03,782.11,803.18,807.07,777.31,1.22390563,5.0014007428,801015,渔业
2025-09-04,800.26,784.18,813.65,779.23,2.46583354,9.023294896,801015,渔业
2025-09-05,804.8,803.4,808.85,782.29,1.81988634,6.660681336100001,801015,渔业
2025-09-08,814.16,803.37,820.89,800.65,1.40827074,5.4429497936,801015,渔业
2025-09-09,816.77,814.43,823.17,807.9,1.62640819,5.901330430700001,801015,渔业
2025-09-10,826.49,816.13,828.48,810.15,1.46699134,5.566630159,801015,渔业
2025-09-11,824.44,826.11,831.47,812.7,1.41530595,5.6307053158,801015,渔业
2025-09-12,827.96,824.06,837.75,818.18,1.50411859,6.5933177757,801015,渔业
2025-09-15,844.71,847.08,874.65,834.39,2.99037208,12.368955998199999,801015,渔业
2025-09-16,846.72,844.37,853.09,830.12,2.10357715,8.8602133224,801015,渔业
2025-09-17,831.05,844.27,848.2,826.64,1.61629261,6.9250194695000005,801015,渔业
2025-09-18,813.59,830.84,838.14,806.19,1.759819,7.243786406799999,801015,渔业
2025-09-19,800.81,815.2,816.77,795.06,1.31382099,5.0836142939,801015,渔业
2025-09-22,791.89,802.3,808.84,785.59,1.08087601,4.3119438874,801015,渔业
2025-09-23,773.19,789.08,789.65,754.63,1.46150946,5.6498448488,801015,渔业
2025-09-24,779.14,770.5,783.25,764.49,1.00586251,3.8274182942,801015,渔业
2025-09-25,768.97,778.49,783.88,765.04,1.01007814,3.8509348446,801015,渔业
2025-09-26,771.45,766.98,781.82,760.0,0.98865561,3.8209114913,801015,渔业
2025-09-29,774.76,771.74,777.89,751.29,1.04067281,3.9084832130000002,801015,渔业
2025-09-30,773.81,779.21,783.68,770.4,0.86582457,3.4092170977999996,801015,渔业
2025-10-09,769.62,772.55,775.73,760.76,0.97165989,3.6959920497000005,801015,渔业
2025-10-10,778.83,772.06,789.0,767.23,1.1963503,4.4450549516,801015,渔业
2025-10-13,782.96,764.29,786.17,754.27,1.05574798,4.2493228658,801015,渔业
2025-10-14,790.87,782.47,797.42,780.31,1.27807518,5.2087732928,801015,渔业
2025-10-15,791.47,790.29,797.08,780.31,0.94607033,3.9828844023000003,801015,渔业
2025-10-16,778.71,792.94,801.24,775.18,1.1436957,4.7751175901,801015,渔业
2025-10-17,770.08,778.03,785.03,767.34,0.97496858,3.9758985998000003,801015,渔业
2025-10-20,778.57,774.56,780.67,767.88,0.77777213,3.1310346187,801015,渔业
2025-10-21,798.76,777.65,800.81,773.68,1.29945458,5.331383465,801015,渔业
2025-10-22,797.54,797.6,806.93,791.83,1.00750449,4.1700472534,801015,渔业
2025-10-23,800.17,794.89,805.47,788.34,0.8944231,4.2066414059,801015,渔业
2025-10-24,790.29,801.9,804.03,786.5,0.97178848,4.2827846054,801015,渔业
2025-10-27,784.57,790.25,795.24,778.3,1.02056576,4.36931264,801015,渔业
2025-10-28,787.92,785.33,794.14,779.65,0.77545986,3.4308129556,801015,渔业
2025-10-29,782.51,785.12,788.43,768.2,0.97679302,3.9541765502999997,801015,渔业
2025-10-30,769.22,779.28,783.74,765.71,0.9398644,3.6580222866,801015,渔业
2025-10-31,780.37,770.86,786.38,764.86,1.12617522,4.6931370352999995,801015,渔业
2025-11-03,788.89,782.17,792.2,779.02,0.99422541,4.23580349,801015,渔业
2025-11-04,795.26,789.5,798.92,783.81,1.08580076,4.2905583648,801015,渔业
2025-11-05,803.31,793.45,807.39,788.89,1.11049326,4.4420895839,801015,渔业
2025-11-06,800.18,803.04,807.73,791.65,1.00008464,4.22620311,801015,渔业
2025-11-07,806.78,799.53,812.26,795.08,0.94130573,4.2634026204,801015,渔业
2025-11-10,818.65,807.8,824.97,801.29,1.35651719,5.716502033099999,801015,渔业
2025-11-11,830.29,819.99,833.0,811.77,1.36817129,5.4450427333,801015,渔业
2025-11-12,825.66,829.47,834.99,819.5,1.08123026,4.4265924252,801015,渔业
2025-11-13,831.69,824.85,833.68,812.72,1.26789363,4.951577198,801015,渔业
2025-11-14,856.79,829.48,877.57,827.84,3.02823141,13.917039615699998,801015,渔业
2025-11-17,912.24,961.67,964.22,905.17,9.19300716,41.1353236461,801015,渔业
2025-11-18,930.63,910.81,942.48,872.71,7.96688158,38.6434344456,801015,渔业
2025-11-19,1049.43,964.06,1049.43,943.97,9.26248952,44.600728911400005,801015,渔业
2025-11-20,987.81,1094.47,1123.52,972.4,11.99495585,65.1923222783,801015,渔业
2025-11-21,1003.13,937.68,1063.67,929.38,10.8081437,60.8180972866,801015,渔业
2025-11-24,1059.72,957.54,1077.28,954.0,9.2817387,49.221408525600005,801015,渔业
2025-11-25,978.36,1030.59,1036.19,946.84,8.10795336,45.712537419499995,801015,渔业
2025-11-26,910.93,944.33,952.96,904.91,6.07862193,29.2915455275,801015,渔业
2025-11-27,897.27,892.26,913.3,872.14,4.61731232,26.7181145602,801015,渔业
2025-11-28,894.96,885.68,901.36,871.42,3.57810856,19.9320989823,801015,渔业
2025-12-01,904.96,891.24,915.91,878.56,3.95199542,22.455876266500002,801015,渔业
2025-12-02,917.33,895.01,934.11,879.93,4.6693961,26.6623637456,801015,渔业
2025-12-03,933.47,906.86,949.5,896.9,6.1090957,29.6185582226,801015,渔业
2025-12-04,902.75,927.85,957.85,896.05,7.44314678,32.9294047799,801015,渔业
2025-12-05,918.37,900.75,928.75,872.23,6.10949739,26.639959653400002,801015,渔业
2025-12-08,919.1,918.67,933.16,905.53,3.95201362,18.6675262669,801015,渔业
2025-12-09,919.14,939.93,959.26,907.28,4.50708596,23.506401369299997,801015,渔业
2025-12-10,905.22,911.93,931.54,894.26,3.70399842,18.3465918722,801015,渔业
2025-12-11,863.51,903.39,905.14,859.99,3.73784329,16.3471503051,801015,渔业
2025-12-12,866.04,860.92,882.53,853.01,2.60948672,11.9295575697,801015,渔业
2025-12-15,876.89,861.31,886.06,856.25,2.28212546,11.654009651500001,801015,渔业
2025-12-16,855.07,872.64,889.06,846.73,2.51413086,12.348934762899999,801015,渔业
